Time,Plate_Number,Language,Confidence,Source,Image_File
2026-01-27 01:39:39,"1৮4

শুর

বেজ

১১-৭",Bangla,0.78,Video,
2026-01-27 01:39:41,"কব

দাদা

' ১ ০৭২

১১-৭

ডঃ

সঃ",Bangla,0.85,Video,
2026-01-27 01:39:42,"দাথা

শুর

১১০

ডট",Bangla,0.87,Video,
2026-01-27 01:39:46,BSR CEAE,English,0.54,Video,
2026-01-27 01:39:47,1907OAS,English,0.94,Video,
2026-01-27 01:39:48,OREL AE EE,English,0.79,Video,
2026-01-27 01:39:50,৬৫প্তহইং,Bangla,0.82,Video,
2026-01-27 01:39:52,৫১তহ,Bangla,0.74,Video,
2026-01-27 01:39:53,I QA RY OI SADUSS,English,0.72,Video,
2026-01-27 01:39:55,"রা

৯৫

বহযী",Bangla,0.61,Video,
2026-01-27 01:39:56,OR SE,English,0.52,Video,
2026-01-27 01:39:58,"১৭৮ |

২৫"" বতহই",Bangla,0.31,Video,
2026-01-27 01:39:59,"৮

প্সস্্বপ্

৬”",Bangla,0.46,Video,
2026-01-27 01:40:00,OG-7U,English,0.50,Video,
2026-01-27 01:40:41,"চ্তা লা

৪২:০৯

|",Bangla,0.70,Video,
2026-01-27 01:53:29,লা রন সে জা,Bangla,0.85,Video,plate_20260127_015329_9151.jpg
2026-01-27 01:53:32,সম ইল সে মানরঞ্্প বারী পুন পে 1 প্ম্ম্ম্ম্ ং পা ১-৭,Bangla,0.85,Video,plate_20260127_015332_2249.jpg
2026-01-27 01:53:33,রী পুরণ ০ ২২,Bangla,0.85,Video,plate_20260127_015333_3502.jpg
2026-01-27 01:53:37,৮৯৫ - রা লক ক 4 ্ণা,Bangla,0.85,Video,plate_20260127_015337_7385.jpg
2026-01-27 01:53:39,৷ রন গরণমরো ৬৫তং ৬৫৫ ্ ্,Bangla,0.85,Video,plate_20260127_015339_9027.jpg
2026-01-27 01:53:41,রেতাতাস ৬৫- তং ০৯৯৮,Bangla,0.85,Video,plate_20260127_015341_1286.jpg
2026-01-27 01:53:43,চা নে রি ৬৫-৫ ্্ত,Bangla,0.85,Video,plate_20260127_015343_3250.jpg
2026-01-27 01:53:45,1441 সক ৬ ৬ করল,Bangla,0.85,Video,plate_20260127_015345_5295.jpg
2026-01-27 01:53:46,149 ১১৫ চে 8 রা এ ১,Bangla,0.85,Video,plate_20260127_015346_6696.jpg
2026-01-27 01:53:49,চার ঈদ ৫ ওয়,Bangla,0.85,Video,plate_20260127_015349_9367.jpg
2026-01-27 01:53:50,টা ডা স্াে রা ্ধ ৬৫ যয,Bangla,0.85,Video,plate_20260127_015350_554.jpg
2026-01-27 01:53:51,১ চ্দ্ধ ৬১৫ কি ফাস,Bangla,0.85,Video,plate_20260127_015351_1717.jpg
2026-01-27 01:53:53,ষ্্্ 141 রদম্পাল্পপছ টস পা ৬ পিল পল-০০৫০ ০০০০০০০০০০৮,Bangla,0.85,Video,plate_20260127_015353_3317.jpg
2026-01-27 01:54:35,মগ না 8 প্র,Bangla,0.85,Video,plate_20260127_015435_5883.jpg
2026-01-27 02:00:13,লা রন সে জা,Bangla,0.85,Video,plate_20260127_020013_3347.jpg,False,Auto
2026-01-27 02:00:16,সম ইল সে মানরঞ্্প বারী পুন পে 1 প্ম্ম্ম্ম্ ং পা ১-৭,Bangla,0.85,Video,plate_20260127_020016_6675.jpg,False,Auto
2026-01-27 02:00:18,রী পুরণ ০ ২২,Bangla,0.85,Video,plate_20260127_020018_8436.jpg,False,Auto
2026-01-27 02:00:23,৮৯৫ - রা লক ক 4 ্ণা,Bangla,0.85,Video,plate_20260127_020023_3277.jpg,False,Auto
2026-01-27 02:00:25,৷ রন গরণমরো ৬৫তং ৬৫৫ ্ ্,Bangla,0.85,Video,plate_20260127_020025_5362.jpg,False,Auto
2026-01-27 02:00:28,রেতাতাস ৬৫- তং ০৯৯৮,Bangla,0.85,Video,plate_20260127_020028_8375.jpg,False,Auto
2026-01-27 02:00:32,চা নে রি ৬৫-৫ ্্ত,Bangla,0.85,Video,plate_20260127_020032_2349.jpg,False,Auto
2026-01-27 02:00:35,1441 সক ৬ ৬ করল,Bangla,0.85,Video,plate_20260127_020035_5437.jpg,False,Auto
2026-01-27 02:00:37,149 ১১৫ চে 8 রা এ ১,Bangla,0.85,Video,plate_20260127_020037_7872.jpg,False,Auto
2026-01-27 02:00:43,চার ঈদ ৫ ওয়,Bangla,0.85,Video,plate_20260127_020043_3826.jpg,False,Auto
2026-01-27 02:00:48,টা ডা স্াে রা ্ধ ৬৫ যয,Bangla,0.85,Video,plate_20260127_020048_8241.jpg,False,Auto
2026-01-27 02:00:50,১ চ্দ্ধ ৬১৫ কি ফাস,Bangla,0.85,Video,plate_20260127_020050_848.jpg,False,Auto
2026-01-27 02:00:54,ষ্্্ 141 রদম্পাল্পপছ টস পা ৬ পিল পল-০০৫০ ০০০০০০০০০০৮,Bangla,0.85,Video,plate_20260127_020054_4754.jpg,False,Auto
2026-01-27 02:02:00,মগ না 8 প্র,Bangla,0.85,Video,plate_20260127_020200_375.jpg,False,Auto
2026-01-27 02:05:12,,0.78,Video,plate_20260127_020512_2322.jpg
2026-01-27 02:05:14,,0.00,Video,NO_PLATE
2026-01-27 02:05:15,,0.00,Video,NO_PLATE
2026-01-27 02:05:15,,0.00,Video,NO_PLATE
2026-01-27 02:05:16,,0.54,Video,plate_20260127_020516_6040.jpg
2026-01-27 02:05:17,,0.79,Video,plate_20260127_020517_7717.jpg
2026-01-27 02:05:19,,0.74,Video,plate_20260127_020519_9817.jpg
2026-01-27 02:05:22,,0.61,Video,plate_20260127_020522_2191.jpg
2026-01-27 02:05:23,,0.46,Video,plate_20260127_020523_3564.jpg
2026-01-27 02:05:24,,0.00,Video,NO_PLATE
2026-01-27 02:10:18,,0.78,Video,plate_20260127_021018_8898.jpg
2026-01-27 02:10:21,,0.00,Video,NO_PLATE
2026-01-27 02:10:22,,0.00,Video,NO_PLATE
2026-01-27 02:10:22,,0.00,Video,NO_PLATE
2026-01-27 02:10:22,,0.54,Video,plate_20260127_021022_2910.jpg
2026-01-27 02:10:24,,0.79,Video,plate_20260127_021024_4582.jpg
2026-01-27 02:10:26,,0.74,Video,plate_20260127_021026_6742.jpg
2026-01-27 02:10:29,,0.61,Video,plate_20260127_021029_9266.jpg
2026-01-27 02:10:30,,0.46,Video,plate_20260127_021030_711.jpg
2026-01-27 02:10:31,,0.00,Video,NO_PLATE
